"id","transaction_id","edge_id","transaction_value","currency","is_credit"
1,2,1,2000000.0,USD,0
2,3,1,1842.96,USD,0
3,5,1,379852.0,USD,0
4,6,1,99153.0,USD,0
5,7,1,50200.21,USD,1
6,8,1,101104.0,USD,0
7,9,1,140655.0,USD,0
8,10,1,40402.28,USD,1
9,11,1,141393.0,USD,0
10,12,1,61262.12,USD,1
11,13,1,73238.25,USD,1
12,14,1,141392.56,USD,0
13,15,1,112808.0,USD,0
14,16,1,112808.0,USD,1
15,17,1,120621.0,USD,0
16,18,1,120621.0,USD,1
17,19,1,121564.0,USD,0
18,20,1,66155.0,USD,0
19,21,1,66155.0,USD,1
20,22,1,191117.0,USD,1
21,23,1,191117.2,USD,0
22,24,1,40000.0,USD,1
23,25,1,60000.0,USD,0
24,26,1,200000.0,USD,1
25,27,1,150000.0,USD,1
26,28,1,60000.0,USD,1
27,29,1,50000.0,USD,1
28,30,1,100000.0,USD,1
29,31,1,110000.0,USD,1
30,32,1,159528.0,USD,0
31,33,1,14858.0,USD,0
32,34,1,20000.0,USD,0
33,35,1,60000.0,USD,1
34,36,1,60000.0,USD,1
35,37,1,60000.0,USD,1
36,38,1,40000.0,USD,1
37,39,1,160000.0,USD,1
38,40,1,100000.0,USD,1
39,41,1,40000.0,USD,1
40,41,1,40000.0,USD,1
41,41,1,0.0,USD,0
42,42,1,60000.0,USD,1
43,42,1,60000.0,USD,1
44,42,1,0.0,USD,0
45,43,1,60000.0,USD,1
46,43,1,60000.0,USD,1
47,43,1,0.0,USD,0
48,44,1,120000.0,USD,1
49,44,1,120000.0,USD,1
50,44,1,0.0,USD,0
51,45,1,70000.0,USD,1
52,45,1,70000.0,USD,1
53,45,1,0.0,USD,0
54,46,1,100000.0,USD,1
55,46,1,100000.0,USD,1
56,46,1,0.0,USD,0
57,47,2,7500000.0,USD,0
58,48,2,1500000.0,USD,0
59,49,2,375000.0,USD,0
60,50,2,900000.0,USD,0
61,51,2,618745.81,USD,0
62,52,2,618745.81,USD,1
63,53,2,600000.0,USD,0
64,54,2,375000.0,USD,0
65,55,2,375000.0,USD,0
66,56,2,225000.0,USD,1
67,57,2,701150.0,USD,1
68,58,2,375000.0,USD,0
69,59,2,300000.0,USD,0
70,60,2,300000.0,USD,0
71,61,2,225000.0,USD,0
72,62,2,375000.0,USD,0
73,63,2,337500.0,USD,0
74,64,2,225000.0,USD,1
75,65,2,375000.0,USD,0
76,66,2,375000.0,USD,0
77,67,2,300000.0,USD,0
