"id","transaction_date","transaction_type"
1,"2005-12-29",distribution
2,"2005-02-13",commitment
3,"2005-02-13",contribution
4,"2005-02-13",edge_fee
5,"2005-02-13",contribution
6,"2005-03-10",contribution
7,"2005-04-14",distribution
8,"2005-05-22",contribution
9,"2005-08-11",contribution
10,"2005-08-25",distribution
11,"2005-11-24",contribution
12,"2005-12-29",distribution
13,"2006-03-22",distribution
14,"2006-03-22",contribution
15,"2006-07-12",contribution
16,"2006-07-12",distribution
17,"2006-10-07",contribution
18,"2006-10-07",distribution
19,"2006-11-12",contribution
20,"2007-01-08",contribution
21,"2007-01-08",distribution
22,"2007-04-26",distribution
23,"2007-04-26",contribution
24,"2008-04-13",distribution
25,"2008-06-24",contribution
26,"2008-06-24",distribution
27,"2008-10-09",distribution
28,"2009-02-25",distribution
29,"2009-03-18",distribution
30,"2009-04-09",distribution
31,"2010-01-18",distribution
32,"2010-01-18",contribution
33,"2010-03-22",contribution
34,"2010-08-31",contribution
35,"2011-03-15",distribution
36,"2011-06-06",distribution
37,"2011-08-28",distribution
38,"2011-11-28",distribution
39,"2012-01-22",distribution
40,"2012-07-09",distribution
41,"2012-12-24",distribution
42,"2013-05-13",distribution
43,"2013-07-08",distribution
44,"2013-08-04",distribution
45,"2013-10-01",distribution
46,"2013-12-22",distribution
47,"2006-06-08",commitment
48,"2006-06-08",contribution
49,"2006-08-21",contribution
50,"2007-02-13",contribution
51,"2007-07-05",contribution
52,"2007-07-05",distribution
53,"2007-07-22",contribution
54,"2007-09-30",contribution
55,"2007-11-18",contribution
56,"2007-12-26",distribution
57,"2008-02-06",distribution
58,"2008-04-24",contribution
59,"2008-08-26",contribution
60,"2008-10-29",contribution
61,"2008-12-15",contribution
62,"2009-01-27",contribution
63,"2009-03-05",contribution
64,"2009-06-22",distribution
65,"2009-06-22",contribution
66,"2009-11-10",contribution
67,"2010-01-18",contribution
68,"2012-09-03",contribution
69,"2007-08-02",commitment
70,"2007-08-02",contribution
71,"2007-11-15",contribution
72,"2008-02-24",contribution
73,"2008-03-11",contribution
74,"2008-08-17",contribution
75,"2008-09-10",contribution
76,"2009-02-26",contribution
77,"2009-04-09",edge_fee_reimbursement
78,"2009-04-09",recalled_contribution
79,"2009-04-09",distribution
80,"2009-08-03",contribution
81,"2009-09-28",contribution
82,"2009-11-26",contribution
83,"2010-01-18",contribution
84,"2010-02-18",contribution
85,"2010-09-09",contribution
86,"2011-05-15",contribution
87,"2013-01-29",distribution
88,"2013-04-07",distribution
89,"2013-04-07",contribution
90,"2013-07-11",distribution
91,"2013-10-27",contribution
92,"2013-10-27",distribution
93,"2013-12-29",distribution
94,"2006-06-05",commitment
95,"2006-06-06",contribution
96,"2007-01-29",distribution
97,"2008-02-03",distribution
98,"2009-02-02",distribution
99,"2011-06-01",distribution
100,"2012-12-23",distribution
101,"2013-07-04",distribution
102,"2007-04-04",commitment
103,"2007-04-05",contribution
104,"2008-04-10",contribution
105,"2009-09-09",contribution
106,"2010-06-20",recalled_contribution
107,"2012-02-12",distribution
108,"2012-11-27",contribution
109,"2013-01-30",contribution
110,"2013-05-16",contribution
111,"2013-10-23",contribution
112,"2013-12-10",distribution
113,"2010-01-12",commitment
114,"2010-04-12",contribution
115,"2010-07-28",contribution
116,"2010-09-13",contribution
117,"2010-12-21",contribution
118,"2011-02-15",contribution
119,"2011-05-12",contribution
120,"2011-07-26",contribution
121,"2011-08-08",contribution
122,"2011-10-26",contribution
123,"2011-11-24",distribution
124,"2012-02-05",contribution
125,"2012-03-11",contribution
126,"2012-04-10",contribution
127,"2012-04-25",distribution
128,"2012-05-06",contribution
129,"2012-06-11",contribution
130,"2012-10-16",contribution
131,"2013-02-27",distribution
132,"2013-02-27",distribution
133,"2013-04-24",distribution
134,"2013-05-16",contribution
135,"2013-05-21",distribution
136,"2013-07-07",contribution
137,"2013-09-10",distribution
138,"2013-10-23",contribution
139,"2013-12-12",distribution
140,"2013-12-12",distribution
141,"2012-01-22",commitment
142,"2012-01-22",contribution
143,"2012-03-25",contribution
144,"2012-05-03",contribution
145,"2012-09-06",contribution
146,"2012-10-17",contribution
147,"2013-01-01",contribution
148,"2013-02-24",contribution
149,"2013-05-27",contribution
150,"2013-08-06",contribution
151,"2013-10-23",contribution
152,"2009-08-10",commitment
153,"2009-08-10",edge_fee
154,"2009-08-10",contribution
155,"2009-08-11",recalled_contribution
156,"2009-08-26",recalled_contribution
157,"2009-09-07",distribution
158,"2009-09-07",distribution
159,"2009-09-07",contribution
160,"2009-09-07",distribution
161,"2009-09-08",contribution
162,"2009-10-22",recalled_contribution
163,"2009-11-01",contribution
164,"2010-01-19",contribution
165,"2010-02-14",contribution
166,"2010-06-02",contribution
167,"2010-06-22",contribution
168,"2010-07-04",contribution
169,"2010-08-18",contribution
170,"2010-08-25",contribution
171,"2010-09-26",contribution
172,"2010-11-14",contribution
173,"2010-12-30",contribution
174,"2011-01-20",contribution
175,"2011-02-02",contribution
176,"2011-03-03",distribution
177,"2011-03-03",distribution
178,"2011-04-07",contribution
179,"2011-05-04",contribution
180,"2011-07-12",contribution
181,"2011-07-28",contribution
182,"2011-10-22",edge_fee
183,"2011-11-27",contribution
184,"2012-01-15",contribution
185,"2012-05-01",contribution
186,"2012-07-12",contribution
187,"2012-10-11",contribution
188,"2012-10-25",distribution
189,"2012-10-25",distribution
190,"2013-01-03",contribution
191,"2013-01-03",distribution
192,"2013-01-03",contribution
193,"2013-01-03",distribution
194,"2013-07-14",contribution
195,"2008-02-13",commitment
196,"2008-05-25",contribution
197,"2008-07-08",distribution
198,"2008-08-03",distribution
199,"2008-08-06",contribution
200,"2008-08-27",contribution
201,"2008-09-21",contribution
202,"2008-09-21",distribution
203,"2008-09-21",distribution
204,"2008-11-05",contribution
205,"2008-11-27",contribution
206,"2009-01-01",distribution
207,"2009-01-01",contribution
208,"2009-01-01",distribution
209,"2009-03-18",distribution
210,"2009-03-29",contribution
211,"2009-04-06",contribution
212,"2009-04-09",distribution
213,"2009-04-09",contribution
214,"2009-04-09",distribution
215,"2009-07-27",contribution
216,"2009-08-19",contribution
217,"2009-09-20",contribution
218,"2010-01-19",contribution
219,"2010-07-13",contribution
220,"2010-11-10",distribution
221,"2011-01-16",distribution
222,"2011-01-16",contribution
223,"2011-02-13",contribution
224,"2011-07-20",contribution
225,"2011-08-11",distribution
226,"2011-08-11",distribution
227,"2011-10-20",contribution
228,"2011-11-06",distribution
229,"2011-11-06",distribution
230,"2011-11-06",distribution
231,"2011-12-29",contribution
232,"2012-02-06",contribution
233,"2012-02-08",distribution
234,"2012-03-12",distribution
235,"2012-03-12",distribution
236,"2012-03-12",distribution
237,"2012-05-07",contribution
238,"2012-06-27",contribution
239,"2012-07-24",contribution
240,"2012-08-01",contribution
241,"2012-08-06",distribution
242,"2012-08-06",distribution
243,"2012-09-25",contribution
244,"2012-12-13",contribution
245,"2012-12-30",contribution
246,"2013-01-10",contribution
247,"2013-02-25",contribution
248,"2013-03-10",distribution
249,"2013-03-10",distribution
250,"2013-03-10",distribution
251,"2013-05-28",contribution
252,"2013-06-17",distribution
253,"2013-06-20",contribution
254,"2013-07-23",contribution
255,"2013-07-28",distribution
256,"2013-08-28",contribution
257,"2013-09-04",contribution
258,"2013-09-26",contribution
259,"2013-11-07",distribution
260,"2013-11-20",contribution
261,"2013-12-10",contribution
262,"2013-12-30",contribution
263,"2014-01-01",contribution
264,"2005-08-09",commitment
265,"2005-08-09",contribution
266,"2005-09-12",contribution
