tx_i,date,transaction_type,effect e_i,effect tx_i,effect edge_i,effect currency,effect is_credit
1,2005-12-29,distribution,1611,1,1,USD,1
2,2005-02-13,commitment,1,2,1,USD,0
3,2005-02-13,contribution,2,3,1,USD,0
4,2005-02-13,edge_fee,1539,4,1,USD,0
5,2005-02-13,contribution,3,5,1,USD,0
6,2005-03-10,contribution,4,6,1,USD,0
7,2005-04-14,distribution,5,7,1,USD,1
8,2005-05-22,contribution,6,8,1,USD,0
9,2005-08-11,contribution,7,9,1,USD,0
10,2005-08-25,distribution,8,10,1,USD,1
11,2005-11-24,contribution,9,11,1,USD,0
12,2005-12-29,distribution,10,12,1,USD,1
13,2006-03-22,distribution,11,13,1,USD,1
14,2006-03-22,contribution,12,14,1,USD,0
15,2006-07-12,contribution,13,15,1,USD,0
16,2006-07-12,distribution,14,16,1,USD,1
17,2006-10-07,contribution,15,17,1,USD,0
18,2006-10-07,distribution,16,18,1,USD,1
19,2006-11-12,contribution,17,19,1,USD,0
20,2007-01-08,contribution,18,20,1,USD,0
21,2007-01-08,distribution,19,21,1,USD,1
22,2007-04-26,distribution,20,22,1,USD,1
23,2007-04-26,contribution,21,23,1,USD,0
24,2008-04-13,distribution,22,24,1,USD,1
25,2008-06-24,contribution,23,25,1,USD,0
26,2008-06-24,distribution,24,26,1,USD,1
27,2008-10-09,distribution,25,27,1,USD,1
28,2009-02-25,distribution,26,28,1,USD,1
29,2009-03-18,distribution,27,29,1,USD,1
30,2009-04-09,distribution,28,30,1,USD,1
31,2010-01-18,distribution,29,31,1,USD,1
32,2010-01-18,contribution,30,32,1,USD,0
33,2010-03-22,contribution,31,33,1,USD,0
34,2010-08-31,contribution,32,34,1,USD,0
35,2011-03-15,distribution,33,35,1,USD,1
36,2011-06-06,distribution,34,36,1,USD,1
37,2011-08-28,distribution,35,37,1,USD,1
38,2011-11-28,distribution,36,38,1,USD,1
39,2012-01-22,distribution,37,39,1,USD,1
40,2012-07-09,distribution,38,40,1,USD,1
41,2012-12-24,distribution,39,41,1,USD,1
42,2013-05-13,distribution,42,42,1,USD,1
43,2013-07-08,distribution,45,43,1,USD,1
44,2013-08-04,distribution,48,44,1,USD,1
45,2013-10-01,distribution,51,45,1,USD,1
46,2013-12-22,distribution,54,46,1,USD,1
47,2006-06-08,commitment,57,47,2,USD,0
48,2006-06-08,contribution,58,48,2,USD,0
49,2006-08-21,contribution,59,49,2,USD,0
50,2007-02-13,contribution,60,50,2,USD,0
51,2007-07-05,contribution,61,51,2,USD,0
52,2007-07-05,distribution,62,52,2,USD,1
53,2007-07-22,contribution,63,53,2,USD,0
54,2007-09-30,contribution,64,54,2,USD,0
55,2007-11-18,contribution,65,55,2,USD,0
56,2007-12-26,distribution,66,56,2,USD,1
57,2008-02-06,distribution,67,57,2,USD,1
58,2008-04-24,contribution,68,58,2,USD,0
59,2008-08-26,contribution,69,59,2,USD,0
60,2008-10-29,contribution,70,60,2,USD,0
61,2008-12-15,contribution,71,61,2,USD,0
62,2009-01-27,contribution,72,62,2,USD,0
63,2009-03-05,contribution,73,63,2,USD,0
64,2009-06-22,distribution,74,64,2,USD,1
65,2009-06-22,contribution,75,65,2,USD,0
